t,params,num_params,num_time_steps,error_bound,error_bound_factor,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],56,10,,,1.500000000000001,2.2373273952776152e-15,1.0,0.0,1e-06,,,0.0,0.0,0.0,,9.0,3.840677775812651e-15,9.0,6.7500000000000036,-6.75
9.999999999999999e-05,[-0.e+00  5.e-05 -0.e+00  0.e+00  5.e-05  0.e+00  5.e-05  0.e+00 -0.e+00  0.e+00  0.e+00 -0.e+00  0.e+00 -0.e+00 -0.e+00  5.e-05  5.e-05 -0.e+00  5.e-05  0.e+00 -0.e+00  0.e+00 -0.e+00 -0.e+00  0.e+00  5.e-05  0.e+00  0.e+00  5.e-05  0.e+00  5.e-05  0.e+00  0.e+00  0.e+00  0.e+00  0.e+00 -0.e+00  0.e+00  0.e+00  5.e-05  5.e-05 -0.e+00  5.e-05  0.e+00  0.e+00  0.e+00 -0.e+00  0.e+00  0.e+00  0.e+00  0.e+00 -1.e-04 -1.e-04  0.e+00 -1.e-04 -0.e+00],56,10,,,1.4999998800000154,3.6742340660786054e-08,0.99999998,0.00015,0.00015,,,-0.0018,-0.00135,0.00045,,8.999999999999995,-0.0121499991224977,8.999998177500258,6.749998537500193,-6.749998537500195
0.0011,[-0.          0.00055     0.         -0.          0.00055    -0.          0.00055    -0.          0.         -0.          0.         -0.         -0.         -0.         -0.          0.00055     0.00055    -0.          0.00055     0.         -0.         -0.          0.         -0.         -0.          0.00055    -0.          0.          0.00055    -0.          0.00055     0.          0.          0.          0.          0.         -0.          0.         -0.          0.00055     0.00055     0.          0.00055    -0.          0.          0.         -0.          0.         -0.         -0.         -0.         -0.0011     -0.00109999 -0.         -0.0011     -0.        ],56,10,,,1.4999854802078973,4.445741399332126e-06,0.99999728,0.00164998,0.00164998,,,-0.01979971,-0.01484987,0.00494984,,9.0,-0.13364883205944184,8.999779481354187,6.749823040519668,-6.749823040519669
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],56,10,,,1.500000000000001,2.2373273952776152e-15,1.0,0.0,1e-06,,,0.0,0.0,0.0,,9.0,3.840677775812651e-15,9.0,6.7500000000000036,-6.75
9.999999999999999e-05,[-0.e+00  5.e-05 -0.e+00  0.e+00  5.e-05  0.e+00  5.e-05  0.e+00 -0.e+00  0.e+00  0.e+00 -0.e+00  0.e+00 -0.e+00 -0.e+00  5.e-05  5.e-05 -0.e+00  5.e-05  0.e+00 -0.e+00  0.e+00 -0.e+00 -0.e+00  0.e+00  5.e-05  0.e+00  0.e+00  5.e-05  0.e+00  5.e-05  0.e+00  0.e+00  0.e+00  0.e+00  0.e+00 -0.e+00  0.e+00  0.e+00  5.e-05  5.e-05 -0.e+00  5.e-05  0.e+00  0.e+00  0.e+00 -0.e+00  0.e+00  0.e+00  0.e+00  0.e+00 -1.e-04 -1.e-04  0.e+00 -1.e-04 -0.e+00],56,10,,,1.4999998800000154,3.6742340660786054e-08,0.99999998,0.00015,0.00015,,,-0.0018,-0.00135,0.00045,,8.999999999999995,-0.0121499991224977,8.999998177500258,6.749998537500193,-6.749998537500195
0.0011,[-0.          0.00055     0.         -0.          0.00055    -0.          0.00055    -0.          0.         -0.          0.         -0.         -0.         -0.         -0.          0.00055     0.00055    -0.          0.00055     0.         -0.         -0.          0.         -0.         -0.          0.00055    -0.          0.          0.00055    -0.          0.00055     0.          0.          0.          0.          0.         -0.          0.         -0.          0.00055     0.00055     0.          0.00055    -0.          0.          0.         -0.          0.         -0.         -0.         -0.         -0.0011     -0.00109999 -0.         -0.0011     -0.        ],56,10,,,1.4999854802078973,4.445741399332126e-06,0.99999728,0.00164998,0.00164998,,,-0.01979971,-0.01484987,0.00494984,,9.0,-0.13364883205944184,8.999779481354187,6.749823040519668,-6.749823040519669
0.0111,[ 0.          0.00554818  0.          0.          0.00554818  0.          0.00554818 -0.          0.         -0.          0.          0.          0.          0.          0.          0.00554818  0.00554818  0.          0.00554818  0.         -0.         -0.          0.          0.          0.          0.00554715  0.         -0.          0.00554715 -0.          0.00554715  0.         -0.          0.         -0.          0.         -0.          0.          0.          0.00554715  0.00554715  0.          0.00554715  0.          0.          0.          0.          0.          0.          0.          0.         -0.0110959  -0.01109453  0.         -0.0110959   0.        ],56,10,,,1.498523632680314,0.0004518482683213194,0.99972335,0.01663342,0.01663342,,,-0.19950511,-0.14971679,0.04978832,,8.999999999999996,-1.347451153695473,8.977584881338327,6.732011803636924,-6.732011803636923
0.1,[ 0.          0.04862359  0.          0.          0.04862359 -0.          0.04862359 -0.         -0.          0.          0.         -0.         -0.          0.          0.          0.04862359  0.04862359 -0.          0.04862359  0.          0.         -0.          0.         -0.         -0.          0.04816627  0.          0.          0.04816627  0.          0.04816627 -0.          0.          0.          0.         -0.          0.          0.         -0.          0.04816627  0.04816627  0.          0.04816627 -0.         -0.         -0.         -0.         -0.         -0.         -0.         -0.         -0.08121937 -0.12862146  0.         -0.08121937 -0.        ],56,10,,,1.3796802292641448,5.510865991871007e-15,0.98083409,0.13877547,0.13877547,,,-1.6111487,-1.2621789,0.3489698,,8.999999999999998,-11.35961009504252,7.4069044257852825,5.503386890762933,-5.503386890762926
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],56,10,,,1.500000000000001,2.2373273952776152e-15,1.0,0.0,1e-06,,,0.0,0.0,0.0,,9.0,3.840677775812651e-15,9.0,6.7500000000000036,-6.75
9.999999999999999e-05,[-0.e+00  5.e-05 -0.e+00  0.e+00  5.e-05  0.e+00  5.e-05  0.e+00 -0.e+00  0.e+00  0.e+00 -0.e+00  0.e+00 -0.e+00 -0.e+00  5.e-05  5.e-05 -0.e+00  5.e-05  0.e+00 -0.e+00  0.e+00 -0.e+00 -0.e+00  0.e+00  5.e-05  0.e+00  0.e+00  5.e-05  0.e+00  5.e-05  0.e+00  0.e+00  0.e+00  0.e+00  0.e+00 -0.e+00  0.e+00  0.e+00  5.e-05  5.e-05 -0.e+00  5.e-05  0.e+00  0.e+00  0.e+00 -0.e+00  0.e+00  0.e+00  0.e+00  0.e+00 -1.e-04 -1.e-04  0.e+00 -1.e-04 -0.e+00],56,10,,,1.4999998800000154,3.6742340660786054e-08,0.99999998,0.00015,0.00015,,,-0.0018,-0.00135,0.00045,,8.999999999999995,-0.0121499991224977,8.999998177500258,6.749998537500193,-6.749998537500195
